Date,Max_Temp_C,Min_Temp_C,Humidity_Pct,THI
2017-02-23,3.2,-2.5,80.95,39.8936
2017-02-24,-2.82,-6.96,72.74,31.618172
2017-02-25,-0.48,-10.69,75.01,34.854512
2017-02-26,3.45,-6.51,74.92,40.95626
2017-02-27,7.52,-7.0,74.36,47.300032
2017-02-28,6.5,-1.3,89.77,44.50817
2017-03-01,3.53,-4.85,76.8,40.87584
2017-03-02,0.65,-5.56,68.76,37.4655
2017-03-03,2.89,-5.73,68.62,40.813838
2017-03-04,11.2,-5.89,79.18,52.82624
2017-03-05,16.54,4.27,87.91,61.513273999999996
2017-03-06,22.93,0.18,68.41,70.579373
2017-03-07,10.32,-2.79,47.36,52.723712
2017-03-08,7.99,-3.22,52.59,49.420981
2017-03-09,5.78,-7.32,65.15,45.408069999999995
2017-03-10,-5.94,-10.13,56.37,30.182342
2017-03-11,-2.64,-9.29,67.3,32.820080000000004
2017-03-12,0.06,-9.84,84.72,34.299152
2017-03-13,-4.66,-9.22,77.32,27.934807999999997
2017-03-14,-2.37,-9.24,70.81,32.629163
2017-03-15,3.16,-10.03,77.31,40.238355999999996
2017-03-16,10.54,-2.25,79.89,51.748245999999995
2017-03-17,12.68,-2.17,75.04,55.253311999999994
2017-03-18,10.32,-4.96,62.8,52.093759999999996
2017-03-19,21.7,0.15,69.31,68.81962999999999
2017-03-20,15.1,2.26,58.95,58.892649999999996
2017-03-21,5.68,-3.84,56.8,45.99104
2017-03-22,8.02,-4.34,65.47,48.639013999999996
2017-03-23,15.58,0.89,78.98,59.795964
2017-03-24,8.98,3.12,89.76,48.719008
2017-03-25,10.17,1.4,83.91,50.986607
2017-03-26,8.54,1.68,86.56,48.159583999999995
2017-03-27,13.81,1.14,79.33,56.979953
2017-03-28,13.76,1.77,78.65,56.90464
2017-03-29,8.5,2.11,89.03,47.94723
2017-03-30,9.59,1.06,83.8,50.041219999999996
2017-03-31,11.82,2.21,78.49,53.830958
2017-04-01,13.99,2.27,69.56,57.306804
2017-04-02,16.58,3.34,82.24,61.456832
2017-04-03,13.13,6.51,90.07,55.760111
2017-04-04,16.4,3.0,66.37,60.84739999999999
2017-04-05,13.52,3.14,71.5,56.5868
2017-04-06,12.44,-1.29,60.4,55.16816
2017-04-07,17.09,-0.56,56.27,61.585663
2017-04-08,25.47,5.73,73.07,74.86484899999999
2017-04-09,22.36,8.23,81.01,70.736396
2017-04-10,7.56,0.39,80.09,46.969843999999995
2017-04-11,14.82,-3.29,65.03,58.529126
2017-04-12,17.34,4.1,80.99,62.653105999999994
2017-04-13,20.62,7.3,79.66,67.850852
2017-04-14,20.23,12.05,88.7,67.75521
2017-04-15,22.23,12.08,83.07,70.68838099999999
2017-04-16,20.1,4.08,54.62,65.59334
2017-04-17,19.73,5.2,62.2,65.49925999999999
2017-04-18,20.85,9.76,67.67,67.444715
2017-04-19,15.07,4.19,83.28,59.013976
2017-04-20,14.74,3.99,73.26,58.441084000000004
2017-04-21,14.95,2.04,70.97,58.750335
2017-04-22,19.06,4.29,56.39,64.275774
2017-04-23,21.25,4.4,48.02,66.68937
2017-04-24,20.76,9.97,56.74,66.616664
2017-04-25,9.45,2.5,83.87,49.808434999999996
2017-04-26,8.9,-0.34,72.03,49.55835
2017-04-27,11.82,-1.61,65.78,54.158876
2017-04-28,10.04,-1.21,68.55,51.44322
2017-04-29,10.93,1.24,63.23,52.949918999999994
2017-04-30,6.4,0.85,87.97,44.4824
2017-05-01,10.09,0.31,80.5,51.002449999999996
2017-05-02,17.05,-0.93,60.35,61.639275
2017-05-03,17.24,4.37,68.25,62.1303
2017-05-04,20.49,4.04,59.45,66.412505
2017-05-05,23.91,5.7,54.8,70.73948
2017-05-06,23.2,8.26,60.39,70.27431999999999
2017-05-07,27.23,7.87,61.32,76.051356
2017-05-08,26.67,15.17,74.82,76.916414
2017-05-09,22.61,10.97,66.18,69.921378
2017-05-10,17.07,11.27,73.62,62.021654
2017-05-11,19.81,6.32,59.54,65.46911399999999
2017-05-12,24.81,8.51,51.74,71.63413399999999
2017-05-13,25.9,9.78,53.74,73.3001
2017-05-14,27.88,13.78,59.58,76.735384
2017-05-15,27.92,15.96,71.18,78.359536
2017-05-16,29.07,17.66,73.9,80.49713
2017-05-17,20.24,13.76,88.87,67.78200799999999
2017-05-18,18.91,9.41,70.72,64.717472
